name,email,password_hash,balance
Inês Pereira,ines.pereira@catchit.pt,$2b$12$VHWdTmnrnhT9i.akMjkBW.AszQwYPGgfr.uUz4qnGX4yaZi97iAsm,437.49
Carolina Soares,carolina.soares@catchit.pt,$2b$12$OdhrxCu8WpkygtmS/KIjH.L5mpjYqrQVOAPvby07dnL2NCiDrFeAS,228.4
Carolina Almeida,carolina.almeida@catchit.pt,$2b$12$E1pOCUCJdj.J0qZDVhbwUeuCpAr.GLgsnvFHQ6r7mR4y6c4cKfurC,136.51
Miguel Soares,miguel.soares@catchit.pt,$2b$12$4Ql71WRFRd6tur6tde7kZO6aiVDMxODJoOmv653n7HchkKMOaBoD2,190.07
Ana Lopes,ana.lopes@catchit.pt,$2b$12$QvvHY8kLUQMRGPea4hEVk.cVP0yf9oVxz13JuuMAfbTtyfIFG8TOe,42.34
Gonçalo Pereira,goncalo.pereira@catchit.pt,$2b$12$.ycjuYqIKtFTs1SXpSs5Gej/cVa4HB/8pdv5clZ99L8uSJ84elKAS,406.56
Hugo Alves,hugo.alves@catchit.pt,$2b$12$ebegGx4R8IXbHpmKCb8IWuj0Mn5QJMOZhvc2MpjpAxcYgbC/wbY6e,460.42
Vítor Pinto,vitor.pinto@catchit.pt,$2b$12$Ng6CTzLScI0BaH4QZau/gOtf42UeEvhv7ty7IBvplRnlL2RsmKVo2,435.89
Ana Alves,ana.alves@catchit.pt,$2b$12$Fdrv2/um10hN9AcGMMLeieM40WMvDsl0u/XV1XCsc2fy8v0VLT50u,440.53
Joana Rocha,joana.rocha@catchit.pt,$2b$12$9932hy7ZkoXXHO4oIKDvzulCQeQC/v/1EAOxCj.nVSA6jWl6LJaF2,18.46
Jorge Cunha,jorge.cunha@catchit.pt,$2b$12$vjzdqHttw5aEwr4mlo5nN.fr7LitQBDErY50FrGXRwVXAnOhiLSzS,279.25
Marco Sousa,marco.sousa@catchit.pt,$2b$12$.2PbKNvQBb/3ohvEoB/Jbel.9RCfuPj3L5KcmL0.BaG3EXkW4zyFG,3.19
Maria Gomes,maria.gomes@catchit.pt,$2b$12$9zMAna.3QrsJIwz4QoMAReLhUZDMyk81vIGCbkH/QMjL92gargCRS,373.85
Bruno Alves,bruno.alves@catchit.pt,$2b$12$MOozuNd5riXiJH3M.wx8uOPKZyeLVLq3fLYqH.6zedBH.cajIzeAC,309.87
Francisca Dias,francisca.dias@catchit.pt,$2b$12$jj5h6DZvaBzIusvne72d0.INdWlsF/D96UjDXnwC20yDd7VvssWsm,219.12
Pedro Rodrigues,pedro.rodrigues@catchit.pt,$2b$12$EINjbGFwUfbrce0zmbOdUu8JGR5fu.h8gT3YtYMVt6oTm5zQpR55W,172.05
Patrícia Borges,patricia.borges@catchit.pt,$2b$12$OsPY05LHOBEw1GHVVaZ68e3olrCWZRhTaK5ySKM9XvEFrNEYRdPNS,297.8
Daniela Costa,daniela.costa@catchit.pt,$2b$12$KhkzeBBVvzACi17ouoXQi.IYSUHZcToCQrQOZxSyk43UB.0FAHSZ2,422.55
Jorge Ribeiro,jorge.ribeiro@catchit.pt,$2b$12$9yiBSMiKxxq2P/VBITKVKOJB1zckfw0P9KZ0FX/0lKPE5zOwnss5.,447.44
Rodrigo Cardoso,rodrigo.cardoso@catchit.pt,$2b$12$QL0RpMEbR1vyRqBGjWg1f.vUBwsRdP4MarADg3XjDEU07IhKcXksy,0.26
Rui Melo,rui.melo@catchit.pt,$2b$12$KXZkWzCzJHY8PLjY9.cJOOI2cR7cI8/9X306eMO0HXHulc1LDtqeC,41.35
Ricardo Costa,ricardo.costa@catchit.pt,$2b$12$C9UNOd4SpQU0/GR0FIlZzuTXIgyKnRrfRYTTP7.bkvMeMradbPw5O,164.28
João Fonseca,joao.fonseca@catchit.pt,$2b$12$Om9EhmT3jHFQFBgn8uHW0.Ukk2OlGSo12Qn67tfNuiEOk89KsEEY6,409.55
Diana Fernandes,diana.fernandes@catchit.pt,$2b$12$LAqYLlvQHX5ZZHn7Z7wqh.z4gVJWGl8pXNMrZVXI32CWvUjo1sJpi,89.4
Susana Costa,susana.costa@catchit.pt,$2b$12$jBA93INM/0bJ4YDgiEGbfO4.GFMFsaducsz.vm5x4bF.uNaXyymO.,73.34
Renato Pires,renato.pires@catchit.pt,$2b$12$ngmQ8PBWP9H1OSHxnxZT0ODHh5eTRrlBJ/AoNO6C.Bfe/1qRMyioq,478.32
Mónica Macedo,monica.macedo@catchit.pt,$2b$12$Nz.vFxzDuJOid3NiIiGuD.M058PGjw2Y/4Cu8UveEwEDoB5cHk.0a,423.05
Sofia Azevedo,sofia.azevedo@catchit.pt,$2b$12$rsfK1l5Z5xJuz8vnG0NIkOFU0z6lMLFBsuGffJD6sd2llB.GfMYgq,371.0
Ricardo Macedo,ricardo.macedo@catchit.pt,$2b$12$8HpK068QmDbuSmQd1MkEduH4NKPDH52nKrvbuaoCp3UR43jzSRFpC,419.6
Helena Marques,helena.marques@catchit.pt,$2b$12$Ood9Q73/o5uzZZ8fEc9Bp.Ksd4jv1XcVrptfzLeUQdJo3jxw/lVNW,438.77
Diogo Santos,diogo.santos@catchit.pt,$2b$12$MeZHFvkC0TZzq6g537w0qeg.3g0IhJHD4tLu7U67ZrXm1Nh3n3by.,73.93
Carla Mota,carla.mota@catchit.pt,$2b$12$7vLCnC.hKdd/35/BNB/Rm.u6uQFWJDZgUY2yIqyhOcFPcyjF40an.,42.48
Paulo Soares,paulo.soares@catchit.pt,$2b$12$kSMjjshyf/ojud7b76/J1.peAiWxGho0QqCbRMG/xKaRr60OfNtXm,202.21
Carolina Pinto,carolina.pinto@catchit.pt,$2b$12$RGYnIWkgHqsL1WWxZ4symeYpSitN/fNt.O43DDl1WVxhmTtJq/Ny.,212.39
Nuno Simões,nuno.simoes@catchit.pt,$2b$12$OYRH7FK.LJCbXZM1KzrEq.3vdLFwhTZIUKyWsctZoqWzXpv7l.EK.,155.4
Alexandre Cardoso,alexandre.cardoso@catchit.pt,$2b$12$uLLrMrILhrvZGu5kJ7DLcuUHFh1xvBqlKRs2mdMvMdIybFxhMy8XK,319.17
Sérgio Ferreira,sergio.ferreira@catchit.pt,$2b$12$.BvCNBbXGgDW/zOtYTWqDu857VONbjNOQhdpMbVbX1RAbpmz.kZJ6,486.71
Mariana Fernandes,mariana.fernandes@catchit.pt,$2b$12$u32Q8cd/q.o1RiOObRF1VemwC64QtcTUdfZLRldEs7opYdsC1.b2W,332.58
João Simões,joao.simoes@catchit.pt,$2b$12$z.EixklIR4plN5OQBfrKPebpc/YuN5ulijuChn33vzzXfv3euVkPa,266.11
Sofia Gomes,sofia.gomes@catchit.pt,$2b$12$iZvJqJNckzUrOcVLWcbxiuCnN/pVkFIqphsfvIlemGJLaesm0gj5a,299.11
Beatriz Ramos,beatriz.ramos@catchit.pt,$2b$12$XbbjgX9MVbESwjVOPymecO0VAOeTMXGB.YbludPkd4QhsCXWDSdcy,347.47
Teresa Barbosa,teresa.barbosa@catchit.pt,$2b$12$kMwY3fU8GTwAHggxfaDcAuoqLquIxXGKhuhB9NmUZT2k1ILrOoq7e,308.76
Bruno Dias,bruno.dias@catchit.pt,$2b$12$pIWE9cmIlEzfSURoEeYoR.NrcqxEx2y.pO.iu9DqVaOIM4F5YCdFy,480.76
Rodrigo Coelho,rodrigo.coelho@catchit.pt,$2b$12$vL9az.Tv53ei4om4UQ2Fvev6V.bUuoZQtja.9L6e4B4ur0i7MfCca,123.19
André Monteiro,andre.monteiro@catchit.pt,$2b$12$M5BmK9Ij3FRSfVGxz6SJousUFZ01GT3WyPnKJkpm1fXfl07ZvXvTG,424.74
Jorge Simões,jorge.simoes@catchit.pt,$2b$12$DighvP.O24egsD/EwptsA.SxoNxn0r3Q6ntmi/Wm6Az0QycyXXp82,252.64
Pedro Azevedo,pedro.azevedo@catchit.pt,$2b$12$DOJm0fAD7t1vSdra4PUeBepQkvYHSW4hyw9nrKM1SyGLMrif9UHNK,228.58
Alexandre Jesus,alexandre.jesus@catchit.pt,$2b$12$LOqRnUrgEKvTxB3gZfWbpe6kzF7VgWaXwdzfPs8jEilEfpIjs61GO,497.08
Ricardo Costa,ricardo.costa1@catchit.pt,$2b$12$I5bgx8E82sbiSm96SqMJFemjKDATo7osjagiPwOGmjLWwSleS5Hce,23.27
Susana Macedo,susana.macedo@catchit.pt,$2b$12$fXWluKoPbyHLqkAZ3RGRYumR8bRe7Be0oYXzOtsxQg8RUZm6kKpfm,432.28
Afonso Almeida,afonso.almeida@catchit.pt,$2b$12$mqiaOKxE5FOdrvUN6qG9tOKsA/Q9TYB4BSACQKzRlguwjLhdLj/L6,417.53
Beatriz Carvalho,beatriz.carvalho@catchit.pt,$2b$12$EiYXIx9UAcNH2aLy0/q0Su6cV9sLaFpHZ0bYG2q2Smx0Z/YbB8qyy,67.74
Teresa Freitas,teresa.freitas@catchit.pt,$2b$12$4rts/VPF.o66F8vogcoZiOiyy4gjtfNpKqQowvWAQHBoqyl570NSO,265.22
Luís Correia,luis.correia@catchit.pt,$2b$12$EAlpz09Eb/CGRM/K5i7Tm.qFjOVQfCqCFvCOvDxERr3KZycb8wl2S,109.11
Marta Santos,marta.santos@catchit.pt,$2b$12$zRBNYkti7C.ic3IdJCtQMOohtUujYGdGY0Hb2/zIsVWe6LSno4Hbi,433.11
Bruno Almeida,bruno.almeida@catchit.pt,$2b$12$/7djD7bEwejgKruxrdEyoOzUCseXciLjp0HZsOuAhvDlQIb4O/a0q,179.26
Beatriz Almeida,beatriz.almeida1@catchit.pt,$2b$12$Jc9Y.oJSLyA4aZmzYAgWE.Y0Qx11.HQdyY.NWSjW5tE5WYSSRvaGK,190.56
Inês Macedo,ines.macedo@catchit.pt,$2b$12$hgEZXfmY4zEnTtk9m.WxTOIfy5QO/I339ew82l0ZkexGDhn5FgWzO,339.83
Luís Cardoso,luis.cardoso@catchit.pt,$2b$12$lvfjhqV0OLnlzyQj2XB2KeirB/stxd4KGhVsWYpCXxjT12MNFfpde,383.87
Filipa Ribeiro,filipa.ribeiro@catchit.pt,$2b$12$t7m6f4Zd72r6QeJuq7l44ulAZZRgyaa2FRPFxyXup4DVzihhL7Cqu,485.29
João Carvalho,joao.carvalho@catchit.pt,$2b$12$okWucVx41PcQJT32HlZy.OwiFlQ96oI1Ac0vjgJ40QSwyzf3xBkx.,411.03
Alexandre Reis,alexandre.reis@catchit.pt,$2b$12$i86StQFousMVIq5PPXKsmetUq.0FOhVzm6zwot7mdAMtp9Xov.qUm,129.75
Gonçalo Ferreira,goncalo.ferreira1@catchit.pt,$2b$12$qlyCShAtSj6MaqSCOUkR1e3TCMNcMvQ1xDVKVBUwoKBysX1TwV4n.,260.34
Alexandre Coelho,alexandre.coelho@catchit.pt,$2b$12$hOuWYBrrwhyjHxFBbB7o5O2ogmdi9sByaB7falKvUiJHphd4oY4x.,111.28
Hugo Melo,hugo.melo@catchit.pt,$2b$12$J8PtBo2Y3oJGN0Semy8tTOU/4QlfWOROVuXCVypdmh9A0CrePaBje,158.8
Maria Abreu,maria.abreu@catchit.pt,$2b$12$MVdgkuhmpcaQeJgmaZzow.nLWYzGdTCZIFuE6.t8bsCt0/GhJ5p7O,443.78
Diana Melo,diana.melo@catchit.pt,$2b$12$iIq1XKZ3aAt8v9Jjz3Ro8OqJfLR6ceDxcuePrMkOE9k/5ujNbEDVK,413.78
Susana Borges,susana.borges@catchit.pt,$2b$12$AtZUg6xchv9gCXSOdwAs/uLgfNEZhrMxRXddIgtJGUF9U8fvuOPXq,367.83
Sofia Almeida,sofia.almeida@catchit.pt,$2b$12$sDC/DoTE0uvf/cpVDGntWOrNmhEUE.t/1hgr1dBhNb4oP1Eobb8lq,440.56
Nuno Borges,nuno.borges@catchit.pt,$2b$12$p0qPAkPf0X/Jl5EqEsFPJ.KdcIRgV0zTrPYlI6UuhkaDrHuqUMX.W,70.11
Teresa Gomes,teresa.gomes@catchit.pt,$2b$12$AUMUde8cLP.hgjXXw1wt.ucG4Uzx4LFet/59t7ue7ocUEF7FqunF.,473.31
Eduardo Pires,eduardo.pires@catchit.pt,$2b$12$lQ6obXU3Uop5X4q8qzCYSeODoz75UCBT8bo2UTdu4zuT7UsV7xakK,72.96
Paulo Figueiredo,paulo.figueiredo@catchit.pt,$2b$12$PCl.C2GglMttfHP0jYjVgeHvLcHskSbZuMyFziYA9eIEHQ0QRPVz6,151.83
Carla Correia,carla.correia@catchit.pt,$2b$12$.RHAZlbqOtSlTdHKzD6aeuKt9UXd7gE8HP4BXLqRgyQGX645TPyPS,359.13
Patrícia Pinto,patricia.pinto@catchit.pt,$2b$12$h/Hi/YzsPQUDLvo4D7T.huHqYtIv1G9fnOEB7m8tgRD0iY85lmXJa,493.3
Sérgio Simões,sergio.simoes@catchit.pt,$2b$12$pWjR83jeXNVxAlIkEE6yWeF5hn6IBwZ44dvR3Xi1nW2JfTwwoBBUK,428.72
Rui Santos,rui.santos1@catchit.pt,$2b$12$s3MuUY3ORqtlDLsvQMuLw.ImAJSn9GEr1XEN8/D5O6joAVsudbir.,383.09
Diogo Campos,diogo.campos@catchit.pt,$2b$12$DOsPgqMhjlSVshI0SvZ2U.RA4cc0JZepbkOGlabO8g7T7qJEmyR5K,193.53
Carolina Macedo,carolina.macedo@catchit.pt,$2b$12$yk6UVbYMJm8/ovrDULdkTufvZanJonhzuCfSdcHzubHDm1ODh8.rO,91.99
Pedro Rocha,pedro.rocha@catchit.pt,$2b$12$9bIQfOq/MS/0xXfHQnv5TOf568QDt5W3fUWzPqjhVISgD1YjTcgcK,43.88
Francisca Abreu,francisca.abreu@catchit.pt,$2b$12$Py4y/5v6URzdDn3Ak4cf4uD6BxjE3i7SgZkUFTcGuNQBz9LTK8gd.,357.66
Pedro Gomes,pedro.gomes@catchit.pt,$2b$12$xFao3AQ5LsM4vMr2gC0Fc.p2AiYFFSDq5Ip5KZqGcx0iRIQ5ZjS16,407.15
Fernando Pires,fernando.pires@catchit.pt,$2b$12$qOqnlyhBNtBIa6y6Y1gy3.LFQOV/wT4VyHatUVojpWOCVD/ryHfiK,120.97
Pedro Mota,pedro.mota@catchit.pt,$2b$12$.4WiPr8Hs4TWgRQOlmIP3OxEFusBXBq7OhdmCKix0n5KsIMr35J/K,245.88
Susana Marques,susana.marques@catchit.pt,$2b$12$cudzG2ZxCwzQEiTb9tCjb.4TPIvVl/nZc9wkwf5xyzECrd4J8dsWa,133.41
Francisca Borges,francisca.borges@catchit.pt,$2b$12$xgJMEf3Uyg04/Rg/t78Z7uOyTvfVwoaXedldS0DYE4i4GPZ7yXoXS,162.63
Nuno Barbosa,nuno.barbosa@catchit.pt,$2b$12$K33VEnhtV0.JrDIEQCzOgenjwNuIREfOiPmWOSZOrO7KBlsMbrqfa,466.02
Gonçalo Silva,goncalo.silva@catchit.pt,$2b$12$zMpOPNOhoibDbu6NmEWb4.6Q3yNPySNMcmBNZTGdENrRM6c53fy0.,495.6
João Pinto,joao.pinto@catchit.pt,$2b$12$asQVnsH.Yi1ytPGIbPvq5.IXBDMAXvqoL7so4H7AaV5XzS3LcZ92u,363.29
Beatriz Moreira,beatriz.moreira@catchit.pt,$2b$12$66/7ijIvZYcnf9p5uiScCeKL8C4w.TR2ZTViNH4UIOKe/3vF9YwNG,318.55
Gonçalo Barbosa,goncalo.barbosa@catchit.pt,$2b$12$58bZ/8Pb9GkRXl9V67tybed2K8TYgbed8cQmlTa4J6m/d29JoSJvq,370.61
Sofia Pereira,sofia.pereira@catchit.pt,$2b$12$023Ef2We186KmqndpxV6IuMsVxoV94AJfzEiBFrPq249h8DW2WX3y,100.22
Miguel Rodrigues,miguel.rodrigues@catchit.pt,$2b$12$ULZV5veluHQwqgyhHgQDie.cielpIJeCxDeaRG0x1kuW38ssxAR2G,287.47
Catarina Rocha,catarina.rocha@catchit.pt,$2b$12$lsLWFZ2wsttliUu4/SW8DeQitKjiMEjvtESO37cjHKhucCiICxi8m,483.13
Leonor Correia,leonor.correia@catchit.pt,$2b$12$N3bOfLvqVyxGf.sSY4e6XOgvlbWoWRX12QB8zJwMQUaPd0flh1Jhi,35.71
Carla Sousa,carla.sousa@catchit.pt,$2b$12$oc1MnMyXPVENwq3CRXlJIup51mOrSvT5NLfp5qTlE3qVgsuOWbboG,163.53
Nuno Moreira,nuno.moreira@catchit.pt,$2b$12$yDus2XgV0ILiJcEZWFeD8uQfBA/E8J/XUwe4V6pxR9J25.7xzYsWa,244.89
Filipa Reis,filipa.reis@catchit.pt,$2b$12$QMRI8THrL4pLrFsJsHJkouQ0mbGIz8G9QhZQpT/nRCJmH.eUTPJzO,261.72
Mónica Gonçalves,monica.goncalves@catchit.pt,$2b$12$fam0.t6fSoqqzkiYCSe06uPPbln/5nHmmz9MzPSsXkUB6HGesIOwC,372.24
Vítor Macedo,vitor.macedo@catchit.pt,$2b$12$wjGliczzsZS/4AaMi/oTvu4NpEiISdSBYRMZb6pNaNHozA2YvEOXe,149.82
Bruno Mota,bruno.mota@catchit.pt,$2b$12$CJ2ClBSYNqIKxOkXg1nuWuys1oQsp3nVrXZ4XzcPUBIB7C4RBqydu,135.63
João Sousa,joao.sousa@catchit.pt,$2b$12$474LZvNduDGI07HKUFLtpuioHg0TuoEaP9xttedVojzWVwiHLzsC6,106.91
Marco Macedo,marco.macedo@catchit.pt,$2b$12$6kbcJ1tO9qypgQWm8rZZTeqyoCCzxSe8aYr8H3oaqBzy.Cb8l94ei,498.85
Susana Alves,susana.alves@catchit.pt,$2b$12$Ny5/QqPVH0xCxScBGIPpoO7TuEaFbxGlBwdHVToqxW4UI.gG7OEbS,29.17
Daniela Santos,daniela.santos@catchit.pt,$2b$12$E1vwLwPltA/mkzI.a2sYDu3iVIZAe5U5iXsD/zSJ5Sz.AM/7igg8m,155.93
Diana Almeida,diana.almeida@catchit.pt,$2b$12$9SaAjPk3hgQ7.d5kN95/auh/4YBdeEDAsMpOa9EQG9Uw.TDPdHU7G,72.97
João Melo,joao.melo@catchit.pt,$2b$12$S2dVf4UxzyQgwPGH6q.Va.sUF48KteXiVeXNL.aU.gM5qvbMzQ7Da,221.44
Hugo Monteiro,hugo.monteiro@catchit.pt,$2b$12$8NV.Otw4HzEVvq/cRg9VkOA/bsQp2v1tfMnk4O/vOHyd2cra3MAOy,285.82
Sara Ribeiro,sara.ribeiro@catchit.pt,$2b$12$G6Q2r2qIf8kyIBVHmow0Z.YYHThW15Z2u70dqg0TDputFBBRfhP2q,395.78
Patrícia Ferreira,patricia.ferreira@catchit.pt,$2b$12$WXLn77cuQwytfUn3mZ.9fuYUdtOX/nky3gjAbDt93sJPoUHDOdfGm,265.47
Maria Rodrigues,maria.rodrigues@catchit.pt,$2b$12$spItzYZ2oor5CVLU/DxGo.qwI9SfDiQPu8ZW5RHwWPMxBdEVKU6dy,146.21
Sérgio Coelho,sergio.coelho@catchit.pt,$2b$12$z.EkueZWzzJre1n.rqe2A.vOK3bWTGSRmqzmFTJdB5e35PhR11Cmm,29.46
Fernando Pinto,fernando.pinto@catchit.pt,$2b$12$aa5.Wa8LDH197dLBEXmKUOAREO3J75gaNVhJkYT0Uf9YkiIR5GiwW,355.74
Pedro Barbosa,pedro.barbosa@catchit.pt,$2b$12$AVU7iV8lvMeSYkb6NoSuuunjAfMgHFqaQIRezOPOps44UvCLM1wsG,218.0
Francisca Ribeiro,francisca.ribeiro@catchit.pt,$2b$12$KsF0NSFH6S4GMyuTgpNxNejoKIKYL4mgOGJrx4qs6boTMiiEPNSjK,393.08
Mónica Lopes,monica.lopes@catchit.pt,$2b$12$PH1FKserHZEDL01olc/g5ugjH3.C.sElB9nHgb65/prmvgZY6oyBG,242.03
Francisca Costa,francisca.costa@catchit.pt,$2b$12$B0Z4FGvcRKNrT51Po/zJKur95LL0cJ16e075sQWHPmd86aQVpnc2a,337.08
Marta Borges,marta.borges@catchit.pt,$2b$12$XzJ2tAPakkk4d8k4FFbnJ.ZXsz6ln0frmOBzaJQUr9HAngk0jRUNi,4.91
Carla Ribeiro,carla.ribeiro@catchit.pt,$2b$12$QU3agrmMNYHF3cK3n6ct1eyNWH/YZn6mkAUCceWJmZSbZGcMw7hPS,397.78
Hugo Macedo,hugo.macedo@catchit.pt,$2b$12$fY3FAoCUmwurXFbsUA2K2OiaWQq27/OrR39oh1zPBcJMzTSuDtHJy,169.48
Paulo Rocha,paulo.rocha@catchit.pt,$2b$12$hn4z90xyUpUMz0i41.JLMu73.uBCKU6nTLoImk.z7RtGLdgIyicjm,399.82
Marco Martins,marco.martins@catchit.pt,$2b$12$qd/WlMFJNjjMc0/IfDbkbe0DmJPxf9HnrkjAULLPXIMwN4KqEpCF.,78.91
Hugo Reis,hugo.reis@catchit.pt,$2b$12$3M4v6kpmdrHmJo89DkpGSeHoenuaCWKl2zqMybNL864WghS/dmgnu,280.06
Cláudia Moreira,claudia.moreira@catchit.pt,$2b$12$zKbvNENi/1UNkbm96A1CTuMNEH3ML1vHJx9FOSmP/7N.2h7gD1oYe,159.46
Filipa Santos,filipa.santos@catchit.pt,$2b$12$cVC/d.RkLFU/f7PsJjYmDO4dH04SWA48Ip4qGg7Gd0fWHkDE6Y8vS,266.54
Rui Alves,rui.alves@catchit.pt,$2b$12$vKasdH3N2MakwZdCe.rppeDMTVgD26GZbjE7E/OCRHpffzcLRRHqO,364.7
João Cardoso,joao.cardoso@catchit.pt,$2b$12$KoBAvhPWn4ghGWjBlFoM0.3.Mb03a9Ygw3zYIIk3VcNdeYlKeVglu,317.24
Alexandre Moreira,alexandre.moreira@catchit.pt,$2b$12$xKrIobBGrRWyrtezs7xc1OlpjtGAOSj.nHkerUheWZKavSCI8OtEG,428.36
Inês Melo,ines.melo@catchit.pt,$2b$12$SgiirbxaSbSmOf8/t8b3h.dz1.uzserGOqdkY7YdDkMWnUu7IAliS,493.25
Francisca Freitas,francisca.freitas@catchit.pt,$2b$12$lii5zfNYCQqOOhqMhq/jV.C8LCK5dY7NGISSRSopqlXy1aCDKiyaK,305.09
